,A,B,C,D,E,Question,Reponse,Reponse_preprocess,file
1,A. La qualité des produits autorisés,B. La disponibilité pour tous des produits autorisés,C. La sécurité des produits autorisés,D. L’efficacité des produits autorisés,"E. Les propositions A, B, C et D sont fausses",Que garantit le cadre juridique de l’Union européenne pour les médicaments à usage humain ?,Réponse : ACD,"['A', 'C', 'D']",chapitre5
2,A. Un prix abordable des médicaments,B. Un contrôle strict des produits importés,C. L’obtention d’une autorisation de mise sur le marché,D. L’aide à la recherche de nouveaux médicaments,"E. Les propositions A, B, C et D sont fausses",Sur quel principe repose le cadre juridique de l’Union européenne au sujet des médicaments à usage humain ?,Réponse : C,['C'],chapitre5
3,A. Des lignes directrices,B. Des Règlements,C. Des Décisions,D. Des Directives,"E. Les propositions A, B, C et D sont fausses",Quels types de « lois communautaires » assurent la réglementation concernant les médicaments dans l’Union européenne ?,Réponse : BD,"['B', 'D']",chapitre5
4,A. L’innocuité des composants,B. L’origine des composants,C. L’hygiène des locaux de production,D. La qualité appropriée du produit,"E. Les propositions A, B, C et D sont fausses",Que doit démontrer une entreprise qui sollicite une autorisation de mise sur le marché d’un médicament ?,Réponse : D,['D'],chapitre5
5,A. Par des examens du rapport bénéfice/risque,B. Par des contrôles inopinés,C. Par la pharmacovigilance,D. Par la vérification des compétences du personnel,"E. Les propositions A, B, C et D sont fausses",Comment les autorités compétentes surveillent-elles la sécurité et l’efficacité des médicaments ?,Réponse : AC,"['A', 'C']",chapitre5
6,A. 2 ans,B. 7 ans,C. 10 ans,D. 15 ans,"E. Les propositions A, B, C et D sont fausses",Quelle est la durée de validité d’une autorisation de mise sur le marché ?,Réponse : E,['E'],chapitre5
7,A. Lisible,B. Sur les faces recto/verso,C. Compréhensible,D. Indélébile,"E. Les propositions A, B, C et D sont fausses",De quelles façons doivent figurer les mentions obligatoires sur l’étiquetage des médicaments ?,Réponse : ACD,"['A', 'C', 'D']",chapitre5
8,A. Renouvelable ou non,B. Limitative,C. Spéciale,D. Restreinte,"E. Les propositions A, B, C et D sont fausses","Si un médicament a besoin d’une ordonnance, qu’elle peut être sa classification ?",Réponse : ACD,"['A', 'C', 'D']",chapitre5
9,A. Lors de campagnes de vaccination autorisées,B. En cas de pandémie,C. Sur injonction de l’OMS,D. S’il n’y pas nécessité d’intervention médicale,"E. Les propositions A, B, C et D sont fausses","Dans quels cas, la publicité pour les médicaments est autorisée ?",Réponse : AD,"['A', 'D']",chapitre5
10,A. La Commission européenne,B. Le Bureau Europe de l’OMS,C. Le Conseil européen,D. Le Conseil de l’Europe,"E. Les propositions A, B, C et D sont fausses", Quelle institution a créé la Pharmacopée européenne ?,Réponse : D,['D'],chapitre5
11,A. La Convention d’Oviedo,B. Le Code de Nuremberg,C. La Déclaration d’Helsinki,D. La Déclaration de Genève,"E. Les propositions A, B, C et D sont fausses", Dans quel document ont été définies les règles éthiques au sujet de la recherche médicale impliquant des êtres humains ?,Réponse : C,['C'],chapitre5
